Start Year,Region,Total Deaths,No Affected,Total Damages ('000 US$),Insured Damages ('000 US$)
1966,South-Eastern Asia,513.0,919541.0,59300.0,0.0
1966,Southern Asia,151.0,1652347.0,7400.0,0.0
1966,Southern Europe,70.0,0.0,2000000.0,0.0
1966,Western Africa,0.0,2000.0,50.0,0.0
1966,Western Asia,259.0,3200.0,1400.0,0.0
1967,Central America,0.0,8345.0,500.0,0.0
1967,Eastern Africa,0.0,51200.0,180500.0,0.0
1967,Eastern Asia,489.0,117.0,20000.0,0.0
1967,Northern Africa,20.0,30000.0,3000.0,0.0
1967,South America,909.0,435899.0,76526.0,0.0
1967,South-Eastern Asia,210.0,289000.0,25600.0,0.0
1967,Southern Asia,356.0,1197000.0,5800.0,0.0
1967,Southern Europe,462.0,1000.0,3000.0,0.0
1967,Western Asia,0.0,240000.0,10000.0,0.0
1968,Central America,0.0,1300.0,1500.0,0.0
1968,Eastern Africa,41.0,67000.0,1970.0,0.0
1968,South America,24.0,20000.0,3000.0,0.0
1968,South-Eastern Asia,43.0,159000.0,9111.0,0.0
1968,Southern Africa,0.0,0.0,30000.0,0.0
1968,Southern Asia,6979.0,23411892.0,293900.0,0.0
1968,Southern Europe,72.0,0.0,0.0,0.0
1968,Western Africa,0.0,25000.0,74700.0,0.0
1968,Western Asia,147.0,150000.0,3000.0,0.0
1969,Central America,7.0,4580.0,4000.0,0.0
1969,Eastern Africa,0.0,2300.0,200.0,0.0
1969,Eastern Asia,408.0,229264.0,22400.0,0.0
1969,Northern Africa,616.0,471269.0,110000.0,0.0
1969,Northern America,115.0,0.0,400000.0,0.0
1969,South America,316.0,92300.0,6320.0,0.0
1969,South-Eastern Asia,0.0,0.0,0.0,0.0
1969,Southern Asia,82.0,1000000.0,8500.0,0.0
1970,Caribbean,63.0,200.0,500.0,0.0
1970,Central America,107.0,59045.0,45000.0,0.0
1970,Eastern Asia,28.0,8070.0,0.0,0.0
1970,Eastern Europe,515.0,238755.0,585000.0,0.0
1970,Northern Africa,11.0,266441.0,30000.0,0.0
1970,South America,638.0,5389971.0,215570.0,0.0
1970,South-Eastern Asia,470.0,447000.0,37000.0,0.0
1970,Southern Asia,1377.0,20020000.0,126200.0,0.0
1970,Southern Europe,37.0,1300000.0,268300.0,0.0
1970,Western Africa,0.0,0.0,200.0,0.0
1971,Australia and New Zealand,27.0,0.0,20000.0,0.0
1971,Eastern Africa,500.0,500000.0,0.0,0.0
1971,South America,540.0,391400.0,6100.0,0.0
1971,South-Eastern Asia,14.0,100000.0,200.0,0.0
1971,Southern Asia,1323.0,165000.0,530000.0,0.0
1971,Western Europe,0.0,600.0,0.0,0.0
1972,Caribbean,78.0,40000.0,959.0,0.0
1972,Central America,37.0,100300.0,50.0,0.0
1972,Eastern Asia,1343.0,809761.0,73434.0,0.0
1972,Northern America,237.0,3000.0,120000.0,0.0
1972,South-Eastern Asia,653.0,2400000.0,220000.0,0.0
1972,Southern Africa,0.0,1000.0,50.0,0.0
1972,Southern Asia,200.0,250000.0,0.0,0.0
1972,Southern Europe,0.0,0.0,20000.0,0.0
1972,Western Asia,0.0,0.0,0.0,0.0
1973,Australia and New Zealand,12.0,11000.0,71000.0,0.0
1973,Central America,142.0,155000.0,102500.0,0.0
1973,Middle Africa,0.0,13000.0,0.0,0.0
1973,Northern Africa,132.0,129240.0,15000.0,0.0
1973,Northern America,56.0,0.0,500000.0,0.0
1973,South America,29.0,5000.0,16000.0,0.0
1973,South-Eastern Asia,3.0,5000.0,493.0,0.0
1973,Southern Asia,901.0,4800000.0,661500.0,0.0
1973,Southern Europe,500.0,0.0,400000.0,0.0
1973,Western Asia,60.0,0.0,0.0,0.0
1974,Australia and New Zealand,14.0,0.0,5972.0,0.0
1974,Eastern Africa,25.0,1950000.0,3000.0,0.0
1974,Northern Africa,11.0,20000.0,30000.0,0.0
1974,Northern America,0.0,0.0,89500.0,0.0
1974,South America,268.0,383000.0,141500.0,0.0
1974,South-Eastern Asia,94.0,2601823.0,17800.0,0.0
1974,Southern Africa,26.0,0.0,0.0,0.0
1974,Southern Asia,28960.0,36000000.0,579200.0,0.0
1974,Western Africa,0.0,16000.0,1000.0,0.0
1974,Western Asia,33.0,130000.0,39000.0,0.0
1975,Australia and New Zealand,0.0,0.0,54684.0,0.0
1975,Caribbean,0.0,0.0,4700.0,0.0
1975,Eastern Africa,1.0,91000.0,0.0,0.0
1975,Eastern Asia,20003.0,11003106.0,0.0,0.0
1975,Eastern Europe,60.0,1000000.0,50000.0,0.0
1975,Northern Africa,25.0,157000.0,0.0,0.0
1975,South America,118.0,748000.0,254900.0,0.0
1975,South-Eastern Asia,239.0,3000099.0,45000.0,0.0
1975,Southern Asia,350.0,27000000.0,714259.0,0.0
1975,Western Asia,52.0,50000.0,12700.0,0.0
1976,Australia and New Zealand,0.0,10129.0,0.0,0.0
1976,Central America,36.0,23000.0,0.0,0.0
1976,Eastern Africa,0.0,50000.0,0.0,0.0
1976,Eastern Asia,0.0,200.0,40000.0,0.0
1976,Northern America,139.0,0.0,61000.0,0.0
1976,South America,47.0,0.0,0.0,0.0
1976,South-Eastern Asia,181.0,35878.0,1553.0,0.0
1976,Southern Asia,557.0,9646000.0,505000.0,0.0
1977,Australia and New Zealand,0.0,120.0,17686.0,0.0
1977,Caribbean,7.0,18000.0,0.0,0.0
1977,Eastern Africa,407.0,561000.0,68000.0,0.0
1977,Eastern Asia,365.0,95037.0,46000.0,0.0
1977,Eastern Europe,0.0,1000.0,0.0,0.0
1977,Northern Africa,0.0,0.0,0.0,0.0
1977,Northern America,140.0,2700.0,200000.0,0.0
1977,Northern Europe,6.0,0.0,171000.0,0.0
1977,South America,93.0,154140.0,11000.0,0.0
1977,South-Eastern Asia,49.0,300299.0,1913.0,0.0
1977,Southern Africa,4.0,1000.0,0.0,0.0
1977,Southern Asia,1421.0,2035650.0,0.0,0.0
1977,Southern Europe,50.0,2600.0,222000.0,0.0
1977,Western Africa,0.0,0.0,0.0,0.0
1977,Western Europe,26.0,25000.0,0.0,0.0
1978,Australia and New Zealand,7.0,2726.0,20710.0,0.0
1978,Central America,25.0,9000.0,24300.0,0.0
1978,Eastern Africa,60.0,340000.0,63200.0,0.0
1978,Eastern Asia,35.0,17300.0,400.0,0.0
1978,Northern Africa,34.0,100000.0,25000.0,0.0
1978,Northern America,27.0,0.0,0.0,0.0
1978,South America,72.0,188600.0,2000.0,0.0
1978,South-Eastern Asia,324.0,6759100.0,400000.0,0.0
1978,Southern Africa,26.0,0.0,0.0,0.0
1978,Southern Asia,5280.0,34929044.0,218513.0,0.0
1978,Southern Europe,2.0,0.0,25000.0,0.0
1978,Western Africa,0.0,0.0,2000.0,0.0
1978,Western Europe,5.0,1000.0,330000.0,0.0
1979,Caribbean,76.0,201000.0,0.0,0.0
1979,Central America,1.0,147000.0,13000.0,0.0
1979,Eastern Africa,0.0,110000.0,0.0,0.0
1979,Eastern Asia,23.0,28000.0,0.0,0.0
1979,Northern Africa,66.0,102310.0,14000.0,0.0
1979,Northern America,0.0,0.0,19000.0,0.0
1979,South America,362.0,1740000.0,0.0,0.0
1979,South-Eastern Asia,164.0,56500.0,10183.0,0.0
1979,Southern Asia,266.0,28003200.0,100000.0,0.0
1979,Southern Europe,80.0,47000.0,32100.0,0.0
1980,Australia and New Zealand,0.0,2900.0,0.0,0.0
1980,Central America,105.0,141350.0,87000.0,0.0
1980,Eastern Asia,6323.0,80000.0,160000.0,0.0
1980,Eastern Europe,0.0,4500.0,0.0,0.0
